Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.nuflaeche_mp_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh;7.74;314;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh.02;99.26;9;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh.03;99.82;5;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.tats_ueb_nkm_qm_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh;7.74;217;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh.02;99.26;9;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh.03;99.82;4;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh.04;99.89;3;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh.05;99.93;2;
t_ertraege_wohnen.item.tats_ueb_nkm_t_er_woh.06;99.96;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh;7.74;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh.02;99.26;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh.03;99.82;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh.04;99.89;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh.05;99.93;1;
t_ertraege_wohnen.item.wfflaeche_mp_t_er_woh.06;99.96;1;
t_foto.item.bezeichnung;0.48;1083;
t_foto.item.bezeichnung.02;15.44;952;
t_foto.item.bezeichnung.03;34.02;768;
t_foto.item.bezeichnung.04;55.95;481;
t_foto.item.bezeichnung.05;71.62;315;
t_foto.item.bezeichnung.06;83.12;213;
t_foto.item.bezeichnung.07;90.23;127;
t_foto.item.bezeichnung.08;95.28;79;
t_foto.item.bezeichnung.09;97.16;45;
t_foto.item.bezeichnung.10;98.16;27;
t_foto.item.bezeichnung.11;98.6;20;
